0,seafood,burger,sushi,chinese_food,dessert,complained,vivid,breast,own,uk
</s>,0.3407599082666485,0.2643068165092863,0.3119751224249976,0.2816219705231854,0.4655087514268176,0.2683880163139935,0.3308789400623157,0.17894009041289757,0.1423576997351266,0.23017732635292087
good,0.16068282619552396,0.14924751521920976,0.1339681295331495,0.25167911311207286,0.2634895208357903,0.1123617885490382,0.012976927086194384,0.32539546229008276,0.0761815282488718,0.20893010548060637
food,0.2711731186542142,0.16724146133759918,0.17913530916092021,0.3420780018980649,0.07573671046683393,0.17060758934171927,0.06841706693683089,0.08214369408396704,0.08921138169960822,0.2389689417817509
place,0.12391408661972066,0.09502995130801198,0.2650253047824848,0.3662289829164669,0.08544847893368634,0.15843417509597052,0.02087408773462218,0.12761934330361738,0.07830608740871944,0.1532768149524522
order,0.13833392514730866,0.13068975105154182,0.08050889150410923,0.08168705301118268,0.20253870023331436,0.08301760370889154,0.10798101765250771,0.1798522184097795,0.149103002085994,0.1362179958881736
get,0.19917645231926248,0.14143013180653397,0.10026512904774479,0.07692822267689792,0.2169183310607056,0.22403347670367066,-0.01900401011356597,0.23026202342881708,0.19379080008566527,0.0727001559412504
come,0.2427702838733678,0.1810573974945247,0.1781990554800372,0.14374124688300308,0.2574710730367236,0.16129290485092856,-0.010620008527332327,0.2155302946748292,0.09014390057183021,0.05113450932466283
time,0.13371009795044556,0.14997419892163236,0.1315069755522044,0.12336402412382189,0.047346614310703306,0.22674023040490804,0.0691321191693131,0.10045346173926609,0.11241971348853286,0.064754334266803
service,0.08239727187741411,0.13769544805676207,0.20757205705168333,0.22971583979721083,0.11597581717256601,0.1736370384410292,0.07674386366852885,0.051027752495248414,0.08677936559958659,0.1473629133884923
like,0.20463524755225163,0.1138153675356055,0.10414741205029643,0.14857847697015378,0.18362108085205958,0.14796041890988343,0.13323738172395844,0.17648012522820566,0.18917788652300252,0.15581569113201374
would,0.13450716580054545,0.11197694187581653,0.17955121564471885,0.2075980686783022,0.21624761066050208,0.1131011150568364,0.04232129152198323,0.14220128174907642,0.2137053339119006,0.15031251869560078
great,0.2580373157568941,0.08538138673870885,0.1444914523942764,0.11843380917997147,0.16808090010807245,0.1134914447501385,0.09078953749767513,0.1976049211529339,0.24635133214556937,0.15665351890196816
back,0.1469360373800064,0.14292736894954508,0.13606345786838644,0.08002416945939529,0.15982689790175997,0.04973227967413029,-0.042214051496841834,0.12140612051386297,0.16876904748330826,0.10646840647406644
well,0.1965263764978182,0.2356709441234505,0.1661305938840759,0.1786214909889746,0.22275190646058785,0.17434636243993318,0.0190980357726235,0.17180084382276886,0.3071854497112945,0.20668341670108106
make,0.05469939218864969,0.08298887446527817,0.08593305252211643,0.08151307217921858,0.18368896831601247,0.19808894579931366,0.19780000549485,0.10090092469520785,0.3430562296791312,0.09108045752003313
try,0.20763599733218274,0.07593155076766438,0.1121227878778865,0.1251004203909198,0.2233909111642111,0.14599273315484854,9.358144810062809e-05,0.19488428622269607,0.12578763621611655,0.19449001313535433
say,0.04226333770241134,0.13991099748713154,0.15511827050187776,0.2353967001108576,0.2593934509921897,0.17895549462827606,-0.12327276075275934,0.1605223273850674,0.30024890030531776,0.02490629479581543
